"image_path","true_fruit_type","predicted_fruit_type","true_quality","predicted_quality","export_suitability","market_grade"
"data\sample\test\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.24.04 PM.png","apple","orange","fresh","fresh","Need Recheck","Domestic Grade"
"data\sample\test\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.09.25 PM.png","apple","apple","fresh","rotten","Not Suitable","Reject"
"data\sample\test\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.20.51 PM.png","apple","apple","fresh","rotten","Not Suitable","Reject"
"data\sample\test\freshapples\rotated_by_60_Screen Shot 2018-06-08 at 5.27.13 PM.png","apple","apple","fresh","rotten","Not Suitable","Reject"
"data\sample\test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.34.01 PM.png","apple","apple","fresh","rotten","Not Suitable","Reject"
"data\sample\test\freshapples\Screen Shot 2018-06-08 at 5.19.58 PM.png","apple","apple","fresh","rotten","Not Suitable","Reject"
"data\sample\test\freshapples\Screen Shot 2018-06-08 at 5.27.54 PM.png","apple","apple","fresh","rotten","Not Suitable","Reject"
"data\sample\test\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.14.56 PM.png","apple","apple","fresh","rotten","Not Suitable","Reject"
"data\sample\test\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 9.59.12 PM.png","banana","apple","fresh","fresh","Need Recheck","Domestic Grade"
"data\sample\test\freshbanana\rotated_by_45_Screen Shot 2018-06-12 at 9.48.04 PM.png","banana","banana","fresh","rotten","Not Suitable","Reject"
"data\sample\test\freshoranges\saltandpepper_Screen Shot 2018-06-12 at 11.56.35 PM.png","orange","orange","fresh","rotten","Not Suitable","Reject"
"data\sample\test\freshoranges\Screen Shot 2018-06-13 at 12.11.57 AM.png","orange","orange","fresh","rotten","Not Suitable","Reject"
"data\sample\test\rottenapples\rotated_by_15_Screen Shot 2018-06-07 at 2.31.43 PM.png","apple","apple","rotten","fresh","Suitable","Domestic Grade"
"data\sample\test\rottenapples\rotated_by_45_Screen Shot 2018-06-08 at 2.46.36 PM.png","apple","apple","rotten","fresh","Need Recheck","Domestic Grade"
"data\sample\test\rottenapples\rotated_by_60_Screen Shot 2018-06-07 at 3.05.46 PM.png","apple","orange","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenapples\rotated_by_60_Screen Shot 2018-06-08 at 2.40.56 PM.png","apple","orange","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenapples\rotated_by_75_Screen Shot 2018-06-07 at 3.05.46 PM.png","apple","orange","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenapples\rotated_by_75_Screen Shot 2018-06-08 at 2.34.47 PM.png","apple","apple","rotten","fresh","Not Suitable","Reject"
"data\sample\test\rottenapples\Screen Shot 2018-06-07 at 2.56.47 PM.png","apple","orange","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenapples\translation_Screen Shot 2018-06-08 at 2.47.37 PM.png","apple","orange","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenbanana\rotated_by_75_Screen Shot 2018-06-12 at 9.11.35 PM.png","banana","apple","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenbanana\vertical_flip_Screen Shot 2018-06-12 at 9.16.57 PM.png","banana","apple","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.21.29 PM.png","orange","orange","rotten","fresh","Need Recheck","Domestic Grade"
"data\sample\test\rottenoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.26.44 PM.png","orange","apple","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenoranges\rotated_by_30_Screen Shot 2018-06-12 at 11.23.40 PM.png","orange","orange","rotten","fresh","Need Recheck","Reject"
"data\sample\test\rottenoranges\rotated_by_30_Screen Shot 2018-06-12 at 11.44.06 PM.png","orange","apple","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenoranges\rotated_by_45_Screen Shot 2018-06-12 at 11.20.40 PM.png","orange","orange","rotten","fresh","Need Recheck","Reject"
"data\sample\test\rottenoranges\rotated_by_45_Screen Shot 2018-06-12 at 11.31.44 PM.png","orange","orange","rotten","fresh","Need Recheck","Domestic Grade"
"data\sample\test\rottenoranges\saltandpepper_Screen Shot 2018-06-12 at 11.28.33 PM.png","orange","banana","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenoranges\Screen Shot 2018-06-12 at 11.20.59 PM.png","orange","apple","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenoranges\translation_Screen Shot 2018-06-12 at 11.26.44 PM.png","orange","apple","rotten","rotten","Not Suitable","Reject"
"data\sample\test\rottenoranges\translation_Screen Shot 2018-06-12 at 11.41.08 PM.png","orange","orange","rotten","fresh","Need Recheck","Reject"
"data\sample\test\rottenoranges\translation_Screen Shot 2018-06-12 at 11.42.56 PM.png","orange","apple","rotten","rotten","Not Suitable","Reject"
